year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
2017,1,1.71,1.38,0.57,0.06,0.03,0.05,4.02,4.61,5.93,2.31,0.21,0.6,1.15,0.51,2.57
2018,1,2.16,,0.83,0.1,0.05,0.11,4.48,5.71,6.58,2.35,0.31,0.6,1.34,0.61,3.24
2019,1,1.96,1.52,0.82,0.11,0.06,0.08,4.7,5.39,6.68,2.85,0.42,0.52,1.27,0.64,2.85
2020,1,1.79,1.05,0.63,0.08,0.04,0.07,4.26,5.3,5.5,2.01,0.21,0.66,1.17,0.56,2.55
2021,1,1.98,1.33,0.72,0.08,0.05,0.08,4.59,5.46,5.99,2.6,0.32,0.71,1.2,0.64,3.11
2022,1,2.0,1.56,0.69,0.08,0.09,0.1,3.92,5.43,6.23,2.06,,0.55,1.19,0.66,2.76
2023,1,1.62,1.16,0.66,0.02,0.03,0.04,3.46,5.13,4.7,2.03,0.15,0.7,1.11,0.52,2.29
2017,1,1.38,1.07,0.5,0.08,0.03,0.07,,4.57,4.82,1.63,0.11,0.69,0.98,0.43,2.35
2018,1,2.3,1.82,0.93,0.11,0.07,0.11,4.99,6.44,7.39,2.59,0.31,0.54,1.32,0.68,3.37
2019,1,2.58,1.79,0.91,0.12,0.06,0.11,5.24,6.87,6.93,2.73,0.45,0.55,1.33,0.62,3.73
2020,1,2.4,1.86,0.89,0.1,0.1,0.1,4.58,6.03,7.36,3.05,0.41,0.52,1.51,0.72,3.93
2021,1,1.67,1.12,0.38,0.04,0.03,0.07,3.43,4.86,5.53,1.87,0.16,0.7,1.02,0.46,2.09
2022,1,1.39,1.06,0.49,0.01,0.01,0.02,3.55,4.65,5.47,1.97,,0.64,1.07,0.53,2.09
2023,1,2.09,1.62,0.76,0.04,0.05,0.07,4.01,5.38,6.07,2.45,0.31,0.6,1.25,0.66,2.99
2017,1,2.42,1.84,0.79,0.17,0.08,0.12,5.54,6.79,7.41,3.18,0.44,0.54,1.4,0.78,3.92
2018,1,1.33,0.98,0.5,0.02,0.0,0.05,3.07,4.3,5.22,1.68,0.15,0.76,1.03,0.43,2.26
2019,1,1.55,1.11,0.6,0.04,0.05,0.04,3.32,5.18,5.55,1.7,,0.61,1.33,0.5,2.64
2020,1,2.35,1.93,0.88,0.12,0.1,0.12,4.98,7.16,7.76,2.83,0.34,0.56,1.49,,3.93
2021,1,2.48,1.61,0.78,0.1,0.08,0.1,4.72,6.03,7.03,2.58,0.37,0.59,1.43,0.68,3.22
2022,1,1.98,1.62,0.77,0.04,0.04,0.07,4.63,6.29,7.23,2.51,0.36,0.62,,0.65,3.35
2023,1,1.76,1.42,0.5,0.03,0.02,0.04,3.85,5.09,5.92,1.85,0.14,0.67,1.09,0.57,2.31
2017,1,1.0,1.02,0.48,0.03,0.0,0.05,2.97,4.11,4.64,1.7,0.02,0.71,1.03,0.48,2.03
2018,1,2.67,1.84,0.7,0.1,0.09,0.1,5.03,6.48,7.9,2.97,0.47,0.56,1.37,0.71,3.72
2019,1,1.65,1.41,0.62,0.06,0.06,0.07,3.76,4.54,6.08,1.97,0.26,0.7,1.1,0.56,2.42
2020,1,1.51,1.18,0.55,0.06,0.04,0.07,3.47,4.5,5.3,1.86,0.01,0.66,1.1,0.47,2.11
